Papel,Segmento,Cotação,FFO_Yield,Dividend_Yield,P/VP,Valor_de_Mercado,Liquidez,Cap_Rate,Vacância_Média
ALZR11,Híbrido,"104,41","7,30%",8.46,0.98,1.276.580.000,2024730,"7,02%","0,00%"
CPOF11,Híbrido,"108,50","4,93%",6.23,0.97,253.943.000,7715160,"4,06%","69,86%"
GARE11,Híbrido,"9,02","4,89%",6.43,0.98,1.135.310.000,5813650,"11,32%","0,00%"
HBCR11,Outros,"136,00","6,73%",11.14,0.97,217.600.000,6599680,"19,36%","0,00%"
HGCR11,Títulos e Val. Mob.,"100,55","11,44%",9.88,1.0,1.550.290.000,2772010,"0,00%","0,00%"
HGLG11,Logística,"157,49","6,63%",7.33,1.0,5.321.210.000,7025610,"7,32%","6,43%"
JCIN11,Títulos e Val. Mob.,"151,39","3,98%",1.19,1.0,199.489.000,2803060,"0,00%","0,00%"
JSAF11,Títulos e Val. Mob.,"94,00","3,43%",10.76,0.98,728.719.000,2418150,"0,00%","0,00%"
KNCA11,Títulos e Val. Mob.,"100,00","10,62%",11.0,0.97,2.159.990.000,2831040,"0,00%","0,00%"
KNCR11,Títulos e Val. Mob.,"104,66","10,81%",9.83,1.03,7.272.750.000,16089400,"0,00%","0,00%"
KNHY11,Títulos e Val. Mob.,"103,98","6,98%",10.81,1.03,2.929.070.000,6943500,"0,00%","0,00%"
KNSC11,Títulos e Val. Mob.,"9,13","8,78%",9.33,1.02,1.212.080.000,3591570,"0,00%","0,00%"
KNUQ11,Títulos e Val. Mob.,"104,17","4,97%",10.44,1.03,1.595.100.000,2581330,"0,00%","0,00%"
MXRF11,Híbrido,"9,86","7,71%",10.59,1.01,4.312.030.000,15851200,"0,00%","0,00%"
RBRY11,Títulos e Val. Mob.,"95,40","8,44%",11.88,0.98,1.218.210.000,3560990,"0,00%","0,00%"
TRXF11,Híbrido,"104,00","-2,86%",9.84,0.97,2.083.700.000,6694900,"9,86%","0,00%"
VGIR11,Títulos e Val. Mob.,"9,83","9,53%",12.26,1.01,1.436.180.000,4871170,"0,00%","0,00%"
